Date & Time,Status,Ambiance Temperature(C),Stack Temperature(C),Stack Voltage(V),Stack Current(A),Stack Power(W),Battery Voltage(V),Computed Stack Power (V*I) [W],Stack Power Error (logged - V*I) [W]
2026-02-17 20:27:20,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:21,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:21,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:22,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:22,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:23,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:23,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:24,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:24,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:27:25,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:25,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:26,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:26,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:27,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:27,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:28,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:28,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:29,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:29,NORMAL,16.0,46.0,0.2,15.0,9.2,12.9,3.0,6.199999999999999
2026-02-17 20:27:30,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:30,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:31,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:31,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:27:32,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:32,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:33,NORMAL,16.0,46.0,0.2,19.0,9.2,12.9,3.8000000000000003,5.399999999999999
2026-02-17 20:27:33,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:34,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:34,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:35,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:35,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:36,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:36,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:37,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:37,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:27:38,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:38,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:39,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:39,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:40,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:40,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:41,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:41,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:42,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:42,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:43,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:43,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:44,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:44,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:45,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:45,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:46,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:27:46,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:47,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:47,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:48,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:48,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:49,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:49,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:50,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:50,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:27:51,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:51,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:52,NORMAL,16.0,46.0,0.2,19.0,9.2,12.9,3.8000000000000003,5.399999999999999
2026-02-17 20:27:52,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:53,NORMAL,16.0,46.0,0.2,12.0,9.2,12.9,2.4000000000000004,6.799999999999999
2026-02-17 20:27:53,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:54,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
