Date & Time               Status     Amb Temp(C)  Stack Temp(C)   Stack V(V)   Stack I(A)   Stack P(W)   Bat V(V)  
'2/17/2026 8:58:15 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:16 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:16 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:17 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:17 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:18 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:58:18 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:19 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:19 PM'    'NORMAL'   16           46.000000       0.200000     12           9.200000     12.900000 
'2/17/2026 8:58:20 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:20 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:21 PM'    'NORMAL'   16           46.000000       0.200000     19           9.200000     12.900000 
'2/17/2026 8:58:21 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:22 PM'    'NORMAL'   14           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:22 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:23 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:58:23 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:58:24 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:24 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:25 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:25 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:26 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:26 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:27 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:27 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:28 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
